name,address,email,phone,url
AGENŢIA TURISMULUI,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Hînceşti şos. 53",info@turism.gov.md,022 22 66 34,-
PRIMĂRIA MUNICIPIULUI BĂLŢI,"Republica Moldova, mun. Bălţi, piața Independenţei, 1",serviciulachizitiipublice@mail.ru,023154623,-
I.M.S.P. SPITALUL RAIONAL CIMIŞLIA,"Republica Moldova, CIMIŞLIA, or. Cimişlia, str. Alexandru cel Bun 135",srcimislia@ms.md,0241-2-23-91,-
CONSILIUL RAIONAL IALOVENI,"Republica Moldova, IALOVENI, or. Ialoveni, str. Alexandru cel Bu",sectiaeconomieialoveni@gmail.com,0268 2 44 20,-
"SPITALUL RAIONAL COMRAT ""ISAAC GURFINCHEL"" I.M.S.P.","Republica Moldova, Uta Găgăuzia, or. Comrat, str. Odesscaia 2",imspcomratjurist@mail.ru,0298 3 14 48,-
IMSP Spitalul Raional Criuleni,"or.Criuleni, str.Ştefan cel Mare, 1",srcriuleni@ms.md,024820343,-
CONSILIUL RAIONAL FĂLEŞTI,"Republica Moldova, FĂLEŞTI, or. Făleşti, str. Ştefan cel Mare 50",consiliu_fl@mail.ru,025923941,-
I.M.S.P.S.R. Căuşeni ANA ŞI ALEXANDRU,"Republica Moldova, CĂUŞENI, or. Căuşeni, str. Gagarin Iu. 54",srcauseni@ms.md,0243 26524,-
"IMSP""Spitalul raional Falesti""","or.Falesti,str.Stefan Cel Mare 38",nicolae.vasian@mail.ru,025922808,-
Consiliul raional Criuleni,"or. Criuleni, str.31 August 108",consiliul_cr@mail.ru,024822264,-
CONSILIUL RAIONAL DONDUŞENI,"Republica Moldova, Donduşeni, or. Donduşeni, str. Independenţei 47",alexclimauti@mail.ru,0251 2 20 97,-
Consiliul Raional Anenii Noi,or. Anenii Noi piata 31 August 4,cr.economieaneni@mail.ru,0265 2 36 26,-
I.M.S.P. SPITALUL RAIONAL STRĂŞENI,"Republica Moldova, STRĂŞENI, or. Străşeni, str. Toma Ciorbă 11 bl. 1",srstraseni@ms.md,023722448,-
IMSP SR Hînceşti,"or.Hîncești, str. M.Hîncu 238",goroholschi68@mail.ru,0269 22634 069302105 ,-
CONSILIUL RAIONAL BRICENI,"Republica Moldova, Briceni, Briceni, str. Independenţei 48",economiebriceni2006@rambler.ru,024722845,-
I.M.S.P. SPITALUL RAIONAL LEOVA,"Republica Moldova, LEOVA, or. Leova, str. Ştefan cel Mare 63",angelastoiu@mail.ru,026322498,-
CONSILIUL RAIONAL CĂUŞENI,"Republica Moldova, CĂUŞENI, or. Căuşeni, str. Eminescu M. bd. 31",consiliul@causeni.md,024323784,-
Consiliul raional  Telenești,"str. 31 August  nr. 9,  or. Telenești",consiliul@gmail.com,025823357,-
PREŞEDINTELE RAIONULUI RÎŞCANI,"Republica Moldova, Rîşcani, Rîşcani, str. Independenţei 44",liliana.tasciuc@mail.ru,0(256)2-48-45,-
IMSP Spitalul Raional Cantemir,"or.Cantemir, str.Testemitanu 1",srcantemir@mail.ru,0273-22799 22448,-
Consiliul raional Strășeni,or. Strășeni str. Mihai Eminescu 28,vaniusha.ursu@yahoo.com,0237 2 24 89,-
CONSILIUL RAIONAL CIMIŞLIA,"Republica Moldova, CIMIŞLIA, or. Cimişlia, str. Ştefan cel Mare 12",vasile-tocaru@mail.ru,024121177,-
Președintele raionului Glodeni,"MD-4901, Președintele raionului Glodeni, or. Glodeni, str. Suveranității, 2",sececonomglodeni@mail.ru,(0249)23288,-
COMITETUL EXECUTIV AL GĂGĂUZIEI,"Republica Moldova, Uta Găgăuzia, or. Comrat, str. Lenin 194",jurist-ispolkom@mail.ru,0298 2 25 88,-
AZILUL REPUBLICAN PENTRU INVALIZI ŞI PENSIONARI MUN. CHIŞINĂU,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Valea Rădiului 16",vanoni@mail.ru,022 796112,-
IMSP SR Anenii Noi ,or. Anenii Noi str. Uzinelor 30,Sranenii-noi@ms.md,026523363,-
CONSILIUL RAIONAL HÎNCEŞTI,"Republica Moldova, HÎNCEŞTI, or. Hînceşti, str. Hâncu Mihalcea 126",hincesti.achizitii@gmail.com,0 269 2-20-39,-
IMSP SR Telenesti,or. Telenesti str. C. Porumbescu 8,srtelenesti@ms.md,079113054,-
Consiliul Raional Nisporeni,"str. Ioan Vodă 2, MD-6401, or. Nisporeni, Republica Moldova",achizitiinisporeni@gmail.com,0264-2-22-27,-
CONSILIUL RAIONAL CĂLĂRAŞI,"Republica Moldova, CĂLĂRAŞI, or. Călăraşi, str. Biruinţei 1 bl. 1",achizitii@calarasi.md,(0244)21886 062144255,-
CONSILIUL RAIONAL TARACLIA,"Republica Moldova, TARACLIA, or. Taraclia, str. Ştefan cel Mare 59",economica.05@mail.ru,029425983,-
CONSILIUL RAIONAL LEOVA,"Republica Moldova, LEOVA, or. Leova, str. Independenţei 5",consiliu@leova.md,026322048,-
CONSILIUL RAIONULUI SÎNGEREI,"Republica Moldova, SÎNGEREI, or. Sîngerei, str. Independenţei 111",sectia.economie.sg@gmail.com,0 262 2 32 85,-
CONSILIUL RAIONAL EDINEŢ,"Republica Moldova, Edineţ, Edineţ, str. Independenţei 33",lidia_lisii@mail.ru,0 246 2 26 50,-
Consiliul raional  Ştefan  Vodă,"Republica Moldova, Ştefan Vodă, or. Ştefan Vodă, str. Libertăţii 1",lidia.grigoriev@rambler.ru,024222088,-
CR CANTEMIR,"Republica Moldova,  or. Cantemir, str. Trandafirilor 2",konstantin.gafenco@gmail.com,(0273)2-27-63,-
CONSILIUL RAIONAL DROCHIA,"Republica Moldova, DROCHIA, or. Drochia, str. Independenţei 15",marcro@rambler.ru,025225406,-
CRSoroca,"or. Soroca, str. Stefan cel Mare 5",galina.stavita@mail.ru,0230 22088,-
" Consiliul raional Rezina",or. Rezina  str. 27 August 1,scgcd.rez@mail.ru,025425655 025422146,-
CONSILIUL RAIONAL ŞOLDĂNEŞTI,"Republica Moldova, ŞOLDĂNEŞTI, or. Şoldăneşti, str. 31 August 1",efimia.cosciug@mail.ru,060117150,-
CONSILIUL RAIONAL BASARABEASCA,"Republica Moldova, BASARABEASCA, or. Basarabeasca, str. Marx Karl 55",baseconom@mail.ru,029722241,-
CONSILIUL RAIONAL FLOREŞTI,"Republica Moldova, FLOREŞTI, or. Floreşti, str. Victoriei bd. 2",consiliulfr@yahoo.com,0250 20254,-
CONSILIUL RAIONAL OCNIŢA,"Republica Moldova, Ocniţa, Ocniţa, str. Independenţei 51",presedinte@ocnita.md," 0271-22-0-58",-
Primaria or. Ceadîr-Lunga,"MD-6100, Republica Moldova, or. Ceadîr-Lunga, str. Lenin, 91",vinogradov.vladimir14@yandex.ru,(291)2-29-63,-
Consiliul Raional Dubasari,"s.Cosnita, rl Dubasari, str.Pacii",lilia.cazac@rambler.ru,024844746,-
CONSILIUL RAIONAL UNGHENI,"Republica Moldova, UNGHENI, or. Ungheni, str. Naţională 11",eduardcucuruzac@gmail.com,023623599,-
RISCANI-SC Î.S.,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Vladimirescu Tudor 16",riscani-sc@mail.ru,022 44 5378,-
Agentia de Stat pentru Proprietate Intelectuala,Str. Andrei Doga nr. 24/1,alexandru.lutcan@agepi.gov.md,022400630,-
Главное управление строительства и инфраструктуры Гагаузии,"Республика Молдова, АТО Гагаузия, мун. Комрат, ул. Победы, 58, оф. 308",gupstis_nc@mail.ru,0 (298) 2-23-01,-
Primaria Falesti r-l Falesti,"Republica Moldova, r-l Falesti or. Făleşti, str. Stefan cel Mare 73",primaria@falesti.md,259-49043,-
I.P. SERVICIUL NAŢIONAL UNIC PENTRU APELURI DE URGENŢĂ 112,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Ştefan cel Mare şi Sfînt bd. 134",office@112.md,022 251 198,-
CENTRUL PENTRU ACHIZIŢII PUBLICE CENTRALIZATE ÎN SĂNĂTATE,"Republica Moldova, CHIŞINĂU CENTRU, mun. Chişinău, str. Korolenco 2/1",office@capcs.md,022884348,-
Direcţia Asistenţă Socială şi Protecţia Familiei r-nul Rezina,"Republica Moldova, REZINA, or. Rezina, str. 27 August 1",ecijanovschii@mail.ru,068469040,-
PRIMĂRIA ORAŞULUI TELENEŞTI,"Republica Moldova, Teleneşti, Teleneşti, str. 31 August 8",primariatelenesti@gmail.com,025822530,-
PRIMĂRIA COMUNEI BĂCIOI,"Republica Moldova, mun. Chişinău, s. Băcioi, str. Independenţei 125",tonumaria123@gmail.com,022381255,-
Primăria Orhei,"or. Orhei, str. V. Mahu 160",violeta.morari@bk.ru,023523981,-
PRIMĂRIA ORAŞULUI CRICOVA,"str.Chisinaului,90",morarud33@mail.ru,022453270,-
PRIMĂRIA ORAŞULUI DURLEŞTI,"Republica Moldova, mun. Chişinău, or. Durleşti, str. Alexandru cel Bun 5",doina_25@mail.ru,022584478,-
Primaria com. Bubuieci,str.T.Bubuiog 28,primaria.bubuieci@mail.ru,022414832,-
Primaria orasului Calarasi,"or.Călărași ,str.M.Eminescu,19",info@calarasi-primaria.md,0244 2-27-73,-
I.M.S.P. CENTRUL DE SĂNĂTATE BRICENI,"Republica Moldova, BRICENI, or. Briceni, str. Mihai Eminescu 48",cs.briceni@ms.md,024725642,-
Primaria Cimislia,"or. Cimișlia, str. Decebal, 9",achizitii@cimislia.md,024124135,-
BMA al MAI,Chiţinău bd. Ştefan cel mare şi sfînt  124,migraţie@mai.gov.md,022265616,-
PRIMĂRIA ORASULUI CAHUL,"or. Cahul, str. Piața Independenței 6",prim_cahul.ap@mail.ru,029921949,-
I.M.S.P. Centrul de Sănătate Ceadîr-Lunga,"Republica Moldova, Uta Găgăuzia, or. Ceadîr-Lunga, str. Miciurin 2",CMFCiadirLunga@ms.md,029123820 029126002,-
IMSP CS CĂLĂRAȘI,"MD-4403, or.Călărași, str.Bojole 1",cscalarasi@ms.md,024422660,-
I.M.S.P. CENTRUL DE SĂNĂTATE DONDUŞENI,"Republica Moldova, DONDUŞENI, or. Donduşeni, str. Mihai Eminescu 26 bl. 1",cs.donduseni@ms.md,0 251 2 13 44,-
Primaria orasului Floresti,"or. Floreşti, str.Ştefan cel Mare 30a",primariafloresti@mail.md,025022244,-
Primaria or. Rezina,"or. Rezina, str 27 August, 1",primaria-rezina@mail.ru,069485284,-
Primaria or.Singera,or.Singera str 31 august nr.22,contabilitateasingera@mail.ru,41-30-41,-
PRIMARIA ORAȘULUI BRICENI,"Or. Briceni, str. Independenței, 28",carolina-melnic@mail.ru,0247-2-33-41,-
IMSP CS Edinet,"Republica Moldova ,or.Edinet ,str.Independentei 81",cmfedinet@ms.md,067289282,-
IMSP CMF mun.Balti,Balti str.Decebal 101V,cmfbalti@ms.md,23175228,-
IMSP Centrul de Sanatate Taraclia,"Taraclia, Cotovschi,2",imsptaraclia@ms.md,029424448,-
PRIMĂRIA s. Ghidighici,"Republica Moldova, mun. Chişinău, s. Ghidighici, str. Mateevici A. 2",m_spinu@inbox.ru,022-710-252,-
IMSP Centrul de Sanatate Glodeni,Or Glodeni str. Tricolorului 2,csglodeni@ms.md,249-22836,-
Primaria comunei Gratiesti,"s.Gratiesti, str.Stefan cel Mare 72",ana.balan.63@mail.ru,022-451-254,-
I.M.S.P. CENTRUL DE SĂNĂTATE SOROCA,"Republica Moldova, SOROCA, or. Soroca, str. Mihai Eminescu 16",cs.soroca@ms.md,23022216,-
Primaria satului Budesti,"Mun. Chisinau, satului Budesti, str. Chisinaului, 131",budesti@gmail.com,022418000,-
I.M.S.P. CENTRUL DE SĂNĂTATE CAHUL,"Republica Moldova, Cahul, Cahul, str. Ştefan cel Mare 27",buiuco@rambler.ru,029932912,-
PRIMĂRIA ORAŞULUI EDINEŢ,"Republica Moldova, Edineţ, Edineţ, str. Cerempei Octavian 30",lilia.strimbanu@mail.ru,024622849,-
PRIMĂRIA COMUNEI CRUZEŞTI,"Republica Moldova, mun. Chişinău, s. Cruzeşti, str. Sf.Avraam 14",primariacruzesti@yahoo.com,022419523,-
Primaria Hincesti ,OR HINCESTI ,primariahincesti@mail.md,0269 2 32 86 ,-
PRIMĂRIA ORAŞULUI IALOVENI,"Republica Moldova, IALOVENI, or. Ialoveni, str. Alexandru cel Bun 45",primaria.ial@mail.md,026822746,-
PRIMĂRIA ORAŞULUI DONDUŞENI,"Republica Moldova, Donduşeni, Donduşeni, str. Independenţei 49",primariadonduseni@mail.ru,025122203,-
PRIMĂRIA MUN.COMRAT,"Republica Moldova, Uta Găgăuzia, or. Comrat, str. Tretiacov 36",comrat.primaria@mail.ru,029822660,-
PRIMĂRIA ORAŞULUI VADUL LUI VODĂ,"Republica Moldova, mun. Chişinău, or. Vadul Lui Vodă, str. Ştefan cel Mare 60",postaapl@mail.md,022 416 382,-
I.M.S.P. CENTRUL DE SĂNĂTATE RÎŞCANI,"Republica Moldova, RÎŞCANI, or. Rîşcani, str. Independenţei 59",cs.riscani@ms.md,0(256)2-22-02,-
Primăria or. Nisporeni,"or. Nisporeni, str. Alexandru cel Bun, 55",nisprim@mail.ru,067710858,-
I.M.S.P. CENTRUL DE SĂNĂTATE ŞTEFAN VODĂ,"Republica Moldova, ŞTEFAN VODĂ, or. Ştefan Vodă, str. Testemiţeanu N. 2",cmfstefanvoda@ms.md,0 242 2-24-76,-
Primaria Leova,Primaria Leova,liliana.prim2010@mail.ru,026323129,-
PRIMĂRIA ORAŞULUI TARACLIA,"Republica Moldova, TARACLIA, or. Taraclia, str. Lenin 128",prim-tar@mail.ru,29425774,-
PRIMĂRIA OR.VULCĂNEŞTI,"Republica Moldova, Uta Găgăuzia, or. Vulcăneşti, str. Gagarin Iu. 40",primaria_vulcanesti@mail.ru,029320332,-
Primaria or. Rîșcani,"RM, RÎȘCANI, or. Rîșcani, str. 31 August,4",t_serrggo77@mail.ru,025694441,-
PRIMĂRIA ORAŞULUI CANTEMIR,"Republica Moldova, CANTEMIR, or. Cantemir, str. Trandafirilor 2",primaria.cantemir@gmail.com,027322639,-
Primăria com. Tohatin,"com. Tohatin, str. Ștefan cel Mare 1",tohatin@mail.md,022387848,-
PRIMĂRIA COMUNEI TRUŞENI,"Republica Moldova, mun. Chişinău, s. Truşeni, str. 27 August 30",primariatruseni@mail.ru,022590236,-
IMSP Centrul de Sănătate Sîngerei,"or. Sîngerei, str. Testimițeanu 11",cs.singerei@ms.md,026222662,-
"IPGimn.""N.Stanescu""","s.Pascani,r-nu lCahul",maria_paschal@mail.ru,068133500,-
Primaria Anenii Noi,"or.Anenii Noi, str.Suvorov,6",primaria-anenii-noi@mail.ru,0265-226565,-
DRPSA Causeni,or. Causeni str. A. Mateevici 31,dsvcauseni@mail.ru,024322546,-
IMSP CS Nr.1 Orhei,"str. Vasile Lupu 127, or. Orhei",cs.orhei1@ms.md,023524384,-
Primaria comunei Stauceni,"mun. Chisinau, comuna Stauceni, str. A. Mateevici, 13",stauceni1842@mail.ru,022326670,-
Primăria orasului Codru,"or. Codru, str. Costiujeni, 8",achizitii.codru@gmail.com,022792743,-
"Direcția cultură, tineret, sport și turism Căușeni",Căușeni bd. M. Eminescu 31/415,cultura.causeni@gmail.com,024322648,-
PRIMĂRIA ORAŞULUI VATRA,"Republica Moldova, mun. Chişinău, or. Vatra, str. Ştefan Vodă 5",primaria.vatra@gmail.com,022596004,-
PRIMARIA COMUNEI CIORESCU,"Repubica Moldova, Mun. Chisinau, Comuna Ciorescu, str. Alexandru cel Bun, nr. 17",primardeciorescu@mail.md,022456236,-
Gimnaziul V. Alecsandri," s. Taraclia de Salcie raionul Cahul",gimnaziultaraclia@gmail.com,029978389,-
I.M.S.P. C.S. Drochia ANATOLIE MANZIUC,"Republica Moldova, DROCHIA, or. Drochia, str. N. Testemiţeanu 4 bl. 1",cs.drochia@ms.md,25222788,-
PRIMĂRIA COMUNEI COCIERI,"Republica Moldova, rl. Dubăsari, s. Cocieri, str. Renaşterii 68",primcomcocieri@mail.md,024852244,-
PRIMĂRIA ORAŞULUI SOROCA,"Republica Moldova, SOROCA, or. Soroca, str. Ştefan cel Mare 5",m.soroca@mtc-sr.md,023023463,-
PRIMĂRIA ORAŞULUI ŞOLDĂNEŞTI,"Republica Moldova, ŞOLDĂNEŞTI, or. Şoldăneşti, str. Victoriei 26",nastasyea@mail.ru,027222319,-
PRIMĂRIA ORAŞULUI OCNIŢA,"Republica Moldova, Ocniţa, Ocniţa, str. Viteazul Mihai 1",primaria.ocnita@mail.ru,373 27122666,-
IMSP CS Comrat,m.Comrat strada Pobeda 46,cs.comrat@ms.md,0298 2-28-55,-
DIRECŢIA GENERALĂ EDUCAŢIE FĂLEŞTI,"Republica Moldova, Făleşti, Făleşti, str. Ştefan cel Mare 50",madan.svetlana@gmail.com,025923409,-
"IP Scoala primara gradinita ""Ilie Fulga""","com. Stauceni, str. Trandafirilor 2A",ilie_fulga@mail.ru,022667253,-
PRIMĂRIA ORAŞULUI CRIULENI,"Republica Moldova, CRIULENI, or. Criuleni, str. Biruinţa bd. 12",zolotcoalexandru@yahoo.com,024820601,-
PRIMĂRIA ORAŞULUI CĂUŞENI,"Republica Moldova, CĂUŞENI, or. Căuşeni, str. Meşterul Radu 3",primaria@causeni.org,024322233,-
I.M.S.P. CENTRUL DE SĂNĂTATE ANENII NOI,"Republica Moldova, ANENII NOI, or. Anenii Noi, str. Uzinelor 30 bl. 1",csaneniinoi@ms.md,026522645,-
I.M.S.P. Centrul de Sănătate Vulcăneşti,"Republica Moldova, Uta Găgăuzia, or. Vulcăneşti, str. Plotnikov 59",cs.vulcanesti@ms.md,029321631,-
PRIMĂRIA ORAŞULUI STRĂŞENI,"Republica Moldova, STRĂŞENI, or. Străşeni, str. Eminescu Mihai 32",primarcasian@gmail.com,023722343,-
DASPF CAUSENI,or. Causeni str. A. Mateevici 9,dsvcauseni@mail.ru,024322548,-
Direcția învățământ Căușeni,str. Mihai Eminescu 31,dgitscauseni@gmail.com,024322748,-
Primăria Geamăna,"satul Geamăna, raionul Anenii Noi",primaria_geamana@mail.ru,069155463,-
DIRECŢIA RAIONALĂ PENTRU SIGURANŢA ALIMENTELOR DONDUŞENI,"Republica Moldova, Donduşeni, Donduşeni, str. Feroviarilor 56",donduseni.drsv@rambler.ru,025124353,-
